"","Age","diatomPrC","elapsedTime","Ti","pollenPrC","agropastPrC"
"26",9,0.0861285989792214,32,6.607346704,NA,NA
"25",42,0.154427796151048,33,7.471583241,0.20604882354053,0
"63",111,0.141713747479311,35,7.049205943,0.125607109149002,0.979839115392054
"24",185,0.216734900502942,37,6.267802348,0.0878042946141957,0.944657989770197
"23",247,0.225430952783035,39,5.818769366,0.396646184161359,0.982690786596809
"62",260,0.317831178887168,13,5.504293882,0.396646184161359,0.982690786596809
"22",314,0.308510016136257,19,4.089609981,0.270286985268653,0.0219799874366082
"21",445,1.14830960595675,45,2.481422638,0.400603078489621,1.01687542850225
"20",520,0.341243670557524,28,3.432699814,0.398562429639968,0.621181989410035
"61",601,0.59925292985634,5,4.326736187,0.186991172857261,0.292268824263057
"19",695,0.760612359540407,53,7.059159865,0.501193371556916,0.522925666035637
"18",795,0.8009151955058,51,3.14933877,0.23599469237715,0.510574609685211
"17",912,1.0027566108119,59,2.229332691,0.330768662237358,0.341214648637888
"16",1036,1.10525591753421,56,2.73324399,0.188800101959605,0.360010270586678
"15",1163,1.01134090942173,63,3.373951339,0.197235878026403,0.404834225438785
"14",1226,1.01452868894976,63,7.471967783,0.262556444097638,1.26113748390013
"60",1318,1.18779192740646,49,5.21652398,0.343586460010511,0.514204732060124
"13",1363,0.833569635549584,45,3.132297711,0.214234986353948,0.230739948647119
"12",1410,0.842296573065909,47,2.451130396,0.214234986353948,0.230739948647119
"59",1449,1.02351051064165,18,3.786433961,0.148118749095077,0.157181903079337
"11",1494,1.11764608494353,45,3.956870738,0.360971583517269,0.156069229088405
"10",1505,1.07969794868307,11,2.806090349,0.360971583517269,0.156069229088405
"9",1565,0.994867742492105,39,3.314716302,0.360971583517269,0.156069229088405
"58",1633,0.871299812854979,32,2.791920842,0.360971583517269,0.156069229088405
"8",1688,0.824778182793677,26,3.112765747,0.360971583517269,0.156069229088405
"7",1699,0.85800268900405,11,3.127969103,0.360971583517269,0.156069229088405
"57",1732,0.822551221962374,21,2.687447907,0.360971583517269,0.156069229088405
"56",1750,1.05954256911109,18,3.402718183,0.106497491518781,0.7055163686697
"6",1770,0.915917600410472,4,3.070988753,0.106497491518781,0.7055163686697
"55",1784,0.959718953092405,14,4.604408764,0.106497491518781,0.7055163686697
"5",1806,0.825029261217265,10,4.300738585,0.106497491518781,0.7055163686697
"4",1823,0.943010382196739,8,3.406989195,0.106497491518781,0.7055163686697
"68",1824,0.862849272226284,1,4.030328384,0.106497491518781,0.7055163686697
"3",1829,0.997654213653761,2,3.496572961,0.106497491518781,0.7055163686697
"2",1835,1.08421279686978,6,3.7270929,0.106497491518781,0.7055163686697
"54",1836,0.867894777948369,1,3.7270929,0.106497491518781,0.7055163686697
"1",1846,0.979957861116062,6,3.227504169,0.106497491518781,0.7055163686697
"53",1857,0.939847283042144,6,3.59163317,0.106497491518781,0.7055163686697
"52",1862,1.26388404109246,5,4.274501615,0.106497491518781,0.7055163686697
"51",1865,1.48135241348982,3,3.514162552,0.106497491518781,0.7055163686697
"50",1872,1.52649652609454,7,3.540395755,0.106497491518781,0.7055163686697
"49",1879,1.78976508319146,7,2.897584197,0.106497491518781,0.7055163686697
"48",1887,1.39914628671847,8,4.443302602,0.106497491518781,0.7055163686697
"64",1896,1.50981163977318,9,4.584141063,0.106497491518781,0.7055163686697
"47",1904,1.71717509887864,8,4.654479808,0.106497491518781,0.7055163686697
"46",1905,1.57714417448481,1,4.667969146,0.106497491518781,0.7055163686697
"45",1915,1.60171773940013,10,4.941522468,0.106497491518781,0.7055163686697
"35",1926,1.54576666811377,11,3.720783648,0.106497491518781,0.7055163686697
"44",1934,1.62818518018899,8,4.612218832,0.106497491518781,0.7055163686697
"43",1939,1.74212630296544,5,3.42835276,0.106497491518781,0.7055163686697
"34",1941,1.88983793730721,2,3.90986401,0.106497491518781,0.7055163686697
"67",1947,2.59493275871209,6,3.313649979,0.106497491518781,0.7055163686697
"42",1956,2.63027946785386,9,3.25853307,0.106497491518781,0.7055163686697
"33",1958,2.65993326653892,2,3.415285454,0.106497491518781,0.7055163686697
"32",1963,2.58961290335993,5,3.614449892,0.106497491518781,0.7055163686697
"66",1965,2.59275614734448,2,2.573351246,0.106497491518781,0.7055163686697
"65",1971,2.58721543837685,6,3.15336127,0.106497491518781,0.7055163686697
"31",1975,2.59298212688502,4,3.672624623,0.106497491518781,0.7055163686697
"30",1978,2.54467979995341,3,3.004013901,0.106497491518781,0.7055163686697
"41",1981,2.38468059100366,3,3.195588544,0.106497491518781,0.7055163686697
"40",1985,2.36754550842765,4,3.783701974,0.106497491518781,0.7055163686697
"39",1988,1.90713454993095,3,4.257330209,0.106497491518781,0.7055163686697
"38",1992,2.22348634140033,4,3.676543916,0.106497491518781,0.7055163686697
"29",1996,2.22348634140033,4,3.701774742,0.106497491518781,0.7055163686697
"28",2001,2.22348634140033,5,3.325381095,0.398790776312491,0.793501076156986
"27",2005,2.22348634140033,4,NA,NA,NA
"37",2009,2.22348634140033,4,NA,NA,NA
"36",2013,2.22348634140033,4,NA,NA,NA
